연번,행정동,주소,데이터기준일자,위도,경도
1.0,개봉1동,서울특별시 구로구 경인로35길 64-10,2024-06-07,37.4998807691453,126.853299739761
2.0,개봉1동,서울특별기 구로구 경인로35길64-18,2024-06-07,37.5002552761699,126.853484587624
3.0,개봉1동,서울특별시 구로구 고척로52마길 33,2024-06-07,37.5010461274494,126.853879765918
4.0,개봉1동,서울특별시 구로구 고척로52마길29,2024-06-07,37.5010045513992,126.853993390342
5.0,개봉1동,서울특별시 구로구 고척로52마길 7,2024-06-07,37.5006136565862,126.855206368034
6.0,개봉1동,서울특별시 구로구 고척로52라길 19-28,2024-06-07,37.5013777182527,126.854261369358
7.0,개봉1동,서울특별시 구로구 고척로52길74,2024-06-07,37.5018566228146,126.855819868623
8.0,개봉1동,서울특별시 구로구 고척로52라길5-16,2024-06-07,37.5017411371585,126.855175917783
9.0,개봉1동,서울특별시 구로구 고척로52라길43,2024-06-07,37.5017719548839,126.854372451279
10.0,개봉1동,서울특별시 구로구 고척로52라길11-11,2024-06-07,37.5019165001711,126.855124800578
11.0,개봉1동,서울특별시 구로구 고척로52라길19-4,2024-06-07,37.5023311936572,126.854652853697
12.0,개봉1동,서울특별시 구로구 고척로52라길5,2024-06-07,37.5022234009185,126.855655065571
13.0,개봉1동,서울특별시 구로구 고척로27바길7,2024-06-07,37.5069156006181,126.845637024997
14.0,개봉1동,서울특별시 구로구 고척로20길54,2024-06-07,37.4988819343311,126.846646361687
15.0,개봉1동,서울특별시 구로구 개봉로23가길91,2024-06-07,37.4945900939481,126.861306751173
16.0,개봉1동,서울특별시 구로구 개봉로23가길70,2024-06-07,37.4948276444987,126.859818382428
17.0,개봉1동,서울특별시 구로구 경인로40길32-9,2024-06-07,37.4955785176505,126.858437028758
18.0,개봉1동,서울특별시 구로구 개봉로24길31,2024-06-07,37.4961392045808,126.858429411558
19.0,개봉1동,서울특별시 구로구 경인로38길20,2024-06-07,37.4964037439939,126.857234857097
20.0,개봉2동,서울 구로구 개봉로18길 23,2024-06-07,37.4912544812529,126.85722532216
21.0,개봉2동,서울 구로구 개봉로15길 10-17,2024-06-07,37.4907169754976,126.855107762091
22.0,개봉2동,서울 구로구 개봉로15길 18-19,2024-06-07,37.4908069415327,126.854631426685
